"Review_ID","Review_Score","Review_Description"
"RV00903",7.8,"Perfect"
"RV00904",4.4,"Good"
"RV00905",6.6,"Good"
"RV00906",2.7,"Poor"
"RV00907",4.1,"Perfect"
"RV00908",5.7,"So so"
"RV00909",2.7,"natural"
"RV00910",1.1,"Poor"
"RV00911",8.2,"Good"
"RV00912",7.1,"Perfect"
"RV00913",7.5,"natural"
"RV00914",4.6,"Bad"
"RV00915",7.1,"Perfect"
"RV00916",1.7,"Good"
"RV00917",9.6,"Good"
"RV00918",3.9,"Bad"
"RV00919",7.9,"So so"
"RV00920",2.2,"Poor"
"RV00921",3.4,"Good"
"RV00922",4.7,"Poor"
"RV00923",3.4,"Perfect"
"RV00924",4.7,"So so"
"RV00925",3.3,"Good"
"RV00926",2.2,"Perfect"
"RV00927",4.4,"Poor"
"RV00928",4.3,"natural"
"RV00929",2.3,"natural"
"RV00930",5.1,"Bad"
"RV00931",2.2,"Bad"
"RV00932",8.4,"Good"
"RV00933",5.6,"Bad"
"RV00934",6.7,"natural"
"RV00935",2.6,"Good"
"RV00936",2.7,"Poor"
"RV00937",4,"So so"
"RV00938",4.9,"Bad"
"RV00939",4.1,"So so"
"RV00940",5.3,"natural"
"RV00941",5.2,"Good"
"RV00942",2.9,"Poor"
"RV00943",1.9,"natural"
"RV00944",4.7,"So so"
"RV00945",1.6,"So so"
"RV00946",6.2,"So so"
"RV00947",7.2,"Poor"
"RV00948",1.3,"Perfect"
"RV00949",8.2,"Poor"
"RV00950",4.9,"natural"
"RV00951",2.6,"natural"
"RV00952",2.3,"Bad"
"RV00953",1.2,"Bad"
"RV00954",7.2,"Good"
"RV00955",8.6,"Good"
"RV00956",2.4,"Bad"
"RV00957",3.5,"Bad"
"RV00958",8.1,"Good"
"RV00959",8.4,"Poor"
"RV00960",1.6,"So so"
"RV00961",7.8,"Good"
"RV00962",9.2,"Perfect"
"RV00963",2.2,"Perfect"
"RV00964",6.6,"natural"
"RV00965",9,"Poor"
"RV00966",9,"So so"
"RV00967",2.4,"Bad"
"RV00968",5.4,"Poor"
"RV00969",9.3,"Perfect"
"RV00970",6.8,"natural"
"RV00971",3.2,"Bad"
"RV00972",2.5,"So so"
"RV00973",1.6,"So so"
"RV00974",4.2,"Poor"
"RV00975",5.3,"natural"
"RV00976",5.6,"Poor"
"RV00977",2.7,"Poor"
"RV00978",8.8,"Perfect"
"RV00979",5.3,"Perfect"
"RV00980",6.4,"Bad"
"RV00981",8.4,"Good"
"RV00982",6.2,"Bad"
"RV00983",9.2,"Good"
"RV00984",3.1,"Perfect"
"RV00985",9.1,"Bad"
"RV00986",3.5,"So so"
"RV00987",7.8,"natural"
"RV00988",9.8,"Perfect"
"RV00989",8,"So so"
"RV00990",2.7,"Good"
"RV00991",5.9,"Perfect"
"RV00992",2,"So so"
"RV00993",3.7,"So so"
"RV00994",6.4,"Perfect"
"RV00995",3.4,"Good"
"RV00996",2.3,"Poor"
"RV00997",4.7,"natural"
"RV00998",1.2,"Perfect"
"RV00999",7.6,"Bad"
"RV01000",1.6,"So so"
